numerator,denominator
96,41
22,49
4,66
20,79
48,85
92,54
94,38
48,72
5,59
50,44
54,23
65,88
3,19
A,29
76,52
75,50
19,43
16,66
90,41
31,52
60,94
46,88
70,46
54,31
94,17
62,13
20,74
13,12
12,84
15,9
99,58
90,43
88,93
33,95
3,21
39,56
97,19
74,62
56,78
5,90
9,33
20,54
31,69
61,94
15,3
20,50
39,7
16,86
F,43
47,98
7,64
3,30
19,66
12,42
2,72
45,51
25,77
99,10
93,67
4,18
53,93
9,83
0,31
38,59
71,94
60,54
48,5
82,20
27,86
1,45
34,78
23,10
37,38
78,52
23,45
95,98
36,60
95,66
9,1
91,34
36,24
84,39
53,24
T,71
5,1
32,75
21,11
33,95
57,13
4,95
13,86
97,97
92,99
56,18
40,66
82,77
84,73
47,78
65,74
5,94
59,33
70,24
77,d
28,10
73,97
21,88
23,68
56,15
20,13
49,22
99,d
68,61
43,75
6,8
7,28
87,66
70,69
29,22
72,30
75,86
28,0
55,35
85,64
4,19
35,36
76,86
58,40
73,60
76,63
3,21
31,2
85,11
22,50
20,37
46,15
22,47
17,71
78,25
85,86
34,13
32,8
47,7
60,5
13,37
62,25
15,92
14,3
50,66
90,28
89,24
36,97
0,47
84,74
6,33
50,38
21,41
78,32
38,64
57,53
1,58
43,63
95,81
3,70
29,87
48,14
21,20
40,64
58,23
100,1
84,71
71,39
71,0
10,10
1,12
48,63
11,84
65,74
34,92
83,23
34,62
100,30
39,6
76,72
42,3
94,49
74,69
84,72
89,19
67,13
65,17
92,37
89,77
13,0
95,89
70,32
95,97
56,64
41,46
57,44
97,11
59,74
21,15
16,57
47,39
43,44
26,2
56,62
0,99
95,14
46,77
61,86
90,48
14,33
5,22
1,62
14,89
73,75
53,85
87,68
87,16
44,3
93,25
81,64
16,51
95,59
27,57
3,69
43,63
16,100
100,97
46,12
91,44
85,63
94,64
19,93
28,91
83,52
40,75
66,97
87,86
2,33
25,26
18,50
100,90
66,0
43,2
15,10
89,82
72,68
77,26
68,24
23,8
31,47
66,90
16,34
40,13
62,55
16,56
53,17
65,53
58,35
35,86
44,41
22,49
17,64
10,72
55,33
92,54
92,0
22,50
10,75
41,70
34,12
51,30
3,59
8,65
53,65
86,74
51,99
24,55
57,22
49,75
69,89
42,55
60,34
91,27
93,28
63,81
74,92
27,72
4,29
22,9
30,1
77,15
38,26
31,81
28,3
25,22
37,29
75,4
88,49
20,48
30,59
65,50
59,29
51,95
74,28
11,24
55,74
6,56
55,36
93,82
31,72
66,63
20,63
0,65
41,44
27,0
20,55
5,20
66,41
44,31
67,59
8,48
28,82
30,31
64,41
70,30
64,38
81,34
30,53
75,1
24,68
36,92
2,18
1,8
63,59
74,9
93,89
67,68
21,13
9,75
68,61
66,87
11,50
32,91
62,19
34,32
28,55
88,8
68,39
62,23
19,94
67,90
18,77
57,94
62,60
21,89
34,22
58,72
36,55
49,97
3,39
44,26
63,89
82,10
87,6
94,21
9,28
13,82
32,32
15,69
19,87
8,44
25,52
66,5
43,44
58,99
44,60
53,35
47,12
16,22
85,21
36,81
81,71
65,100
14,57
80,53
4,27
37,32
27,43
82,43
75,33
19,41
46,57
92,96
31,67
58,31
54,81
99,73
4,23
55,92
75,80
9,41
9,100
16,62
91,63
28,96
87,57
23,52
19,5
32,100
0,16
44,40
29,85
69,33
12,47
19,46
55,13
89,61
71,4
1,45
29,93
73,77
76,15
34,75
59,27
42,61
47,20
53,71
68,55
44,98
81,29
69,59
87,42
18,73
41,60
51,44
23,67
44,8
19,70
5,18
56,87
58,41
49,8
5,55
37,45
82,18
65,28
51,25
70,89
31,52
49,43
84,18
75,79
12,66
40,30
7,23
29,68
61,4
74,75
20,5
97,74
90,94
100,13
92,44
52,58
26,43
96,92
80,54
38,59
65,18
11,50
73,86
16,51
56,88
100,0
36,2
71,76
5,57
98,6
58,52
67,57
20,3
32,1
41,41
54,16
95,80
13,42
32,47
41,1
57,10
46,97
47,40
84,92
9,88
64,23
51,36
72,17
94,81
78,53
81,91
51,15
62,52
14,26
51,42
66,92
11,62
4,45
12,40
93,12
42,96
98,93
51,15
21,71
20,53
80,4
11,22
87,73
25,8
82,80
95,8
35,5
72,9
39,27
87,86
44,34
37,9
96,31
21,82
39,29
90,81
41,93
2,63
35,68
73,40
20,72
56,65
11,12
12,73
47,47
73,36
62,89
29,15
83,10
54,26
88,0
12,100
31,89
64,84
8,34
78,13
59,68
28,22
51,37
12,98
54,94
90,22
75,0
45,71
20,92
53,57
21,0
89,7
57,84
17,24
18,19
14,12
13,40
36,73
43,45
33,54
89,42
6,34
7,77
16,8
40,31
48,84
80,16
100,47
51,45
35,81
19,46
26,40
18,16
56,38
7,1
71,94
0,7
40,80
2,64
57,96
36,82
85,28
32,96
20,77
74,48
70,37
31,26
91,11
53,71
74,8
44,32
92,1
94,93
6,100
95,52
37,1
47,42
67,99
14,6
52,33
34,73
49,23
49,91
81,0
90,79
100,23
32,54
5,0
91,21
41,16
89,36
48,79
4,13
26,29
93,0
21,17
5,37
44,26
9,4
11,38
86,65
18,96
39,86
11,19
78,40
27,20
95,6
95,2
90,7
38,81
49,31
49,19
68,82
11,1
44,64
96,93
91,78
57,62
48,32
29,9
25,6
32,40
74,28
82,23
9,71
79,92
77,98
72,84
54,96
31,33
33,60
37,0
73,57
35,88
6,31
1,66
23,88
68,14
48,95
33,6
13,75
45,27
26,89
20,44
59,92
65,68
1,9
40,12
88,49
40,24
14,79
61,35
11,63
41,96
71,56
96,10
9,34
49,70
55,68
7,43
32,65
89,19
69,92
41,7
29,68
30,63
37,23
64,39
59,22
69,80
17,28
90,27
69,71
2,31
39,52
93,6
44,38
47,72
10,26
19,67
57,12
0,36
36,25
89,37
39,4
38,45
84,55
49,56
73,19
19,81
21,75
0,47
24,56
85,93
28,92
63,47
84,83
31,93
47,44
23,44
12,71
78,15
41,4
63,26
70,99
3,63
21,4
86,0
100,31
65,39
94,21
9,86
44,64
87,1
15,73
1,85
68,26
49,76
99,41
60,9
61,59
84,49
60,37
79,21
49,11
24,4
19,17
51,45
12,41
100,0
30,38
88,56
4,57
23,64
5,6
13,19
9,0
21,61
93,9
49,42
21,5
20,14
28,77
32,50
50,92
39,3
14,0
14,10
15,9
87,72
60,9
26,72
26,41
65,54
20,51
19,72
69,11
0,58
30,60
77,9
71,51
20,32
81,4
11,96
1,46
56,67
85,93
81,33
14,84
61,99
57,47
31,30
51,88
25,41
15,88
41,10
83,4
77,69
34,25
26,34
26,84
9,46
85,58
9,55
30,3
40,60
57,33
80,15
96,13
51,42
85,50
46,37
66,44
89,34
85,76
68,91
80,76
51,22
66,61
82,76
88,32
61,82
47,52
66,83
95,28
48,74
39,87
99,5
34,12
21,2
57,95
4,82
34,13
41,58
42,3
94,2
68,39
13,77
31,9
96,51
4,17
49,39
92,23
60,70
58,37
36,8
52,47
78,33
45,76
93,75
64,99
25,2
38,24
2,70
32,50
81,15
28,91
17,91
24,1
91,92
5,55
74,17
41,11
75,42
73,0
89,15
60,2
19,54
35,77
98,63
56,55
18,14
46,63
61,32
40,57
37,76
84,38
18,35
75,43
69,79
93,17
47,72
11,39
38,80
73,27
88,16
78,75
29,86
68,7
42,46
28,7
38,22
3,7
45,72
15,30
54,69
26,3
7,13
82,97
22,43
75,80
27,32
57,70
2,63
16,70
87,77
41,1
58,54
28,44
48,81
92,40
99,55
54,94
28,79
35,100
95,55
90,73
25,76
63,60
61,79
2,56
97,48
61,83
38,63
32,97
61,79
34,84
17,14
30,39
27,23
47,85
5,55
99,81
72,84
91,23
65,21
46,32
86,96
47,28
38,79
24,78
66,17
82,39
44,80
15,3
83,0
17,95
94,23
19,84
88,45
41,26
76,2
4,81
10,79
33,8
62,22
70,49
11,36
74,7
7,40
13,5
89,24
41,96
36,45
41,34
46,39
90,29
98,15
44,20
66,84
15,94
89,70
53,58
92,50
14,67
30,29
98,4
51,98
69,90
63,74
91,68
24,26
19,87
47,95
56,81
33,12
66,64
